theme,url,img,lines,author
HELPING OTHERS,/inspirational-quotes/8056-when-i-was-a-boy-and-i-would-see-scary-things,https://assets.passiton.com/quotes/quote_artwork/8056/medium/20200406_monday_quote.jpg?1585942742,"When I was a boy and I would see scary things in the news, my mother would say to me, ‘Look for the helpers. You will always find people who are helping.’ ",<Author:0x00007fbedc08ee20>
OPTIMISM,/inspirational-quotes/6151-we-have-enough-people-who-tell-it-like-it,https://assets.passiton.com/quotes/quote_artwork/6151/medium/20200403_friday_quote.jpg?1585244301,We have enough people who tell it like it is—now we could use a few who tell it like it can be.  ,<Author:0x00007fbedbf3cbd0>
OPTIMISM,/inspirational-quotes/8055-an-optimist-understands-that-life-can-be-a,https://assets.passiton.com/quotes/quote_artwork/8055/medium/20200402_thursday_quote.jpg?1585244272,"An optimist understands that life can be a bumpy road, but at least it is leading somewhere. They learn from mistakes and failures, and are not afraid to fail again. ",<Author:0x00007fbedbf5bfa8>
OPTIMISM,/inspirational-quotes/6905-if-we-had-no-winter-the-spring-would-not-be-so,https://assets.passiton.com/quotes/quote_artwork/6905/medium/20200401_wednesday_quote.jpg?1585244244,"If we had no winter, the spring would not be so pleasant; if we did not sometimes taste of adversity, prosperity would not be so welcome. ",<Author:0x00007fbedc224a28>
OPTIMISM,/inspirational-quotes/3623-the-greatest-discovery-of-my-generation-is-that,https://assets.passiton.com/quotes/quote_artwork/3623/medium/20200331_tuesday_quote.jpg?1585244218,The greatest discovery of my generation is that human beings can alter their lives by altering their attitudes of mind. ,<Author:0x00007fbedc2476e0>
OPTIMISM,/inspirational-quotes/7377-love-is-better-than-anger-hope-is-better-than,https://assets.passiton.com/quotes/quote_artwork/7377/medium/20200330_monday_quote_alt.jpg?1585330598,"Love is better than anger. Hope is better than fear. Optimism is better than despair. So let us be loving, hopeful and optimistic. And we’ll change the world. ",<Author:0x00007fbedc2727c8>
WISDOM,/inspirational-quotes/8054-knowledge-comes-from-learning-wisdom-comes,https://assets.passiton.com/quotes/quote_artwork/8054/medium/20200327_friday_quote.jpg?1584726568,Knowledge comes from learning. Wisdom comes from living. ,<Author:0x00007fbedc2cbc88>
WISDOM,/inspirational-quotes/8053-it-is-said-that-wisdom-lies-not-in-seeing,https://assets.passiton.com/quotes/quote_artwork/8053/medium/20200326_thursday_quote.jpg?1584726539,"It is said that wisdom lies not in seeing things, but seeing through things. ",<Author:0x00007fbedc2f81e8>
WISDOM,/inspirational-quotes/4069-we-are-made-wise-not-by-the-recollection-of-our,https://assets.passiton.com/quotes/quote_artwork/4069/medium/20200325_wednesday_quote_alternate.jpg?1584748370,"We are made wise not by the recollection of our past, but by the responsibility for our future. ",<Author:0x00007fbedc34b4d8>
WISDOM,/inspirational-quotes/8052-never-mistake-knowledge-for-wisdom-one-helps,https://assets.passiton.com/quotes/quote_artwork/8052/medium/20200324_tuesday_quote.jpg?1584726475,Never mistake knowledge for wisdom. One helps you make a living; the other helps you make a life. ,<Author:0x00007fbedc38a818>
WISDOM,/inspirational-quotes/6246-the-invariable-mark-of-wisdom-is-to-see-the,https://assets.passiton.com/quotes/quote_artwork/6246/medium/20200323_monday_quote.jpg?1584726442,The invariable mark of wisdom is to see the miraculous in the common. ,<Author:0x00007fbedc3bb8f0>
RESILIENCE,/inspirational-quotes/6554-life-has-many-ways-of-testing-a-persons-will,https://assets.passiton.com/quotes/quote_artwork/6554/medium/20200320_friday_quote.jpg?1584123864,"Life has many ways of testing a person's will, either by having nothing happen at all or by having everything happen all at once. ",<Author:0x00007fbedc3f25a8>
RESILIENCE,/inspirational-quotes/7817-difficulties-are-meant-to-rouse-not,https://assets.passiton.com/quotes/quote_artwork/7817/medium/20200319_thursday_quote.jpg?1584123829,"Difficulties are meant to rouse, not discourage. The human spirit is to grow strong by conflict. ",<Author:0x00007fbedc437478>
RESILIENCE,/inspirational-quotes/6119-we-need-to-remember-that-circumstances-don-t,https://assets.passiton.com/quotes/quote_artwork/6119/medium/20200318_wednesday_quote.jpg?1584123795,"We need to remember that circumstances don’t make a person, they reveal a person.  ",<Author:0x00007fbedc46ea40>
RESILIENCE,/inspirational-quotes/6739-no-soul-that-aspires-can-ever-fail-to-rise-no,https://assets.passiton.com/quotes/quote_artwork/6739/medium/20200317_tuesday_quote.jpg?1584123766,"No soul that aspires can ever fail to rise; no heart that loves can ever be abandoned. Difficulties exist only that in overcoming them we may grow strong, and they who have suffered are able to save. ",<Author:0x00007fbedc499948>
RESILIENCE,/inspirational-quotes/6940-hardships-often-prepare-ordinary-people-for-an,https://assets.passiton.com/quotes/quote_artwork/6940/medium/20200316_monday_quote_alternate.jpg?1584125137,Hardships often prepare ordinary people for an extraordinary destiny. ,<Author:0x00007fbedc4c4288>
TRUE BEAUTY,/inspirational-quotes/8049-for-beautiful-eyes-look-for-the-good-in,https://assets.passiton.com/quotes/quote_artwork/8049/medium/20200313_friday_quote.jpg?1583521746,"For beautiful eyes, look for the good in others; for beautiful lips, speak only words of kindness; and for poise, walk with the knowledge that you are never alone. ",<Author:0x00007fbedc50bbb0>
TRUE BEAUTY,/inspirational-quotes/8048-beauty-is-the-illumination-of-your-soul,https://assets.passiton.com/quotes/quote_artwork/8048/medium/20200312_thursday_quote.jpg?1583521723,Beauty is the illumination of your soul. ,<Author:0x00007fbedc539100>
TRUE BEAUTY,/inspirational-quotes/7605-beauty-is-about-being-comfortable-in-your-own,https://assets.passiton.com/quotes/quote_artwork/7605/medium/20200311_wednesday_quote_fixed.jpg?1583782466,Beauty is about being comfortable in your own skin. It's about knowing and accepting who you are. ,<Author:0x00007fbedc573788>
TRUE BEAUTY,/inspirational-quotes/7746-beauty-begins-the-moment-you-decide-to-be,https://assets.passiton.com/quotes/quote_artwork/7746/medium/20200310_tuesday_quote.jpg?1583521584,Beauty begins the moment you decide to be yourself. ,<Author:0x00007fbedcef8a60>
TRUE BEAUTY,/inspirational-quotes/7260-beauty-is-not-in-the-face-beauty-is-a-light-in,https://assets.passiton.com/quotes/quote_artwork/7260/medium/20200309_monday_quote.jpg?1583521556,Beauty is not in the face; beauty is a light in the heart. ,<Author:0x00007fbedcf35190>
SPREAD YOUR WINGS,/inspirational-quotes/8047-life-should-not-be-a-journey-to-the-grave-with,https://assets.passiton.com/quotes/quote_artwork/8047/medium/20200306_friday_quote.jpg?1582921356,"Life should not be a journey to the grave with the intention of arriving safely in a pretty and well-preserved body, but rather to skid in broadside in a cloud of smoke, thoroughly used up, totally worn out, and loudly proclaiming “Wow! What a Ride!”  ",<Author:0x00007fbedcf83b38>
SPREAD YOUR WINGS,/inspirational-quotes/8046-if-we-were-meant-to-stay-in-one-place-we-d,https://assets.passiton.com/quotes/quote_artwork/8046/medium/20200305_thursday_quote.jpg?1582921071,"If we were meant to stay in one place, we’d have roots instead of feet. ",<Author:0x00007fbedcfdc670>
SPREAD YOUR WINGS,/inspirational-quotes/8045-if-you-are-making-mistakes-then-you-are-making,https://assets.passiton.com/quotes/quote_artwork/8045/medium/20200304_wednesday_quote.jpg?1582921036,"If you are making mistakes, then you are making new things, trying new things, learning, living, pushing yourself, changing yourself, changing your world. You're doing things you've never done before, and more importantly, you're doing something. ",<Author:0x00007fbedd010a88>
SPREAD YOUR WINGS,/inspirational-quotes/8044-practice-the-art-of-adventure-by-breaking-the,https://assets.passiton.com/quotes/quote_artwork/8044/medium/20200303_tuesday_quote.jpg?1582920987,"Practice the art of adventure by breaking the chain of routine, renewing your life through reading new books, traveling to new places, making new friends, taking up new hobbies and adopting new viewpoints. ",<Author:0x00007fbedd047d80>
SPREAD YOUR WINGS,/inspirational-quotes/8043-when-you-come-to-the-edge-of-all-that-you-know,https://assets.passiton.com/quotes/quote_artwork/8043/medium/20200302_monday_quote.jpg?1582920839,"When you come to the edge of all that you know, you must believe one of two things: either there will be ground to stand on, or you will be given wings to fly. ",<Author:0x00007fbedd0727b0>
PASSION,/inspirational-quotes/8042-pursue-your-passion-and-everything-else-will,https://assets.passiton.com/quotes/quote_artwork/8042/medium/20200228_friday_quote.jpg?1582225721,"Pursue your passion, and everything else will fall into place. This is not being romantic. This is the highest order of pragmatism. ",<Author:0x00007fbedd089bb8>
PASSION,/inspirational-quotes/8041-passion-is-the-genesis-of-genius,https://assets.passiton.com/quotes/quote_artwork/8041/medium/20200227_thursday_quote.jpg?1582225699,Passion is the genesis of genius. ,<Author:0x00007fbedd0b8d00>
PASSION,/inspirational-quotes/8040-chase-down-your-passion-like-it-s-the-last-bus,https://assets.passiton.com/quotes/quote_artwork/8040/medium/20200226_wednesday_quote.jpg?1582225676,Chase down your passion like it’s the last bus of the night. ,<Author:0x00007fbedd0c9b50>
PASSION,/inspirational-quotes/8039-if-you-feel-like-there-s-something-out-there,https://assets.passiton.com/quotes/quote_artwork/8039/medium/20200225_tuesday_quote.jpg?1582225655,"If you feel like there’s something out there that you’re supposed to be doing, if you have a passion for it, then stop wishing and just do it. ",<Author:0x00007fbedd10d350>
